RecordID,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,subscribe
27441,27,self-employed,single,university.degree,no,unknown,unknown,cellular,aug,mon,130,2,999,1,failure,-2.9,92.201,-31.4,0.861,5076.2,no
13144,35,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,wed,622,2,512,5,success,1.4,93.25402111,-30.24230216,1.237118588,5100.464369,no
8420,35,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,15,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
9615,52,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,wed,4386,1,119,4,nonexistent,1.4,92.90709293,-45.90188172,1.231348019,5083.449818,no
26327,27,admin.,single,university.degree,no,yes,no,cellular,may,wed,46,2,746,0,nonexistent,-1.8,93.79088228,-30.61065244,1.11955809,5192.917915,no
26161,52,unemployed,single,basic.4y,no,yes,no,cellular,may,fri,169,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,no
894,47,services,married,high.school,unknown,yes,no,telephone,may,thu,231,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
27951,74,retired,married,basic.9y,no,yes,no,cellular,oct,thu,4527,2,146,3,nonexistent,-3.4,92.92637989,-49.93171553,4.469027272,5088.894958,yes
28140,69,technician,married,basic.4y,unknown,no,yes,telephone,dec,mon,160,21,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,yes
6162,48,retired,married,basic.4y,unknown,no,no,telephone,jun,wed,145,8,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
5612,47,management,married,basic.4y,unknown,no,yes,telephone,may,fri,251,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
1146,35,admin.,married,university.degree,no,yes,no,telephone,may,thu,379,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
10255,39,technician,divorced,university.degree,no,no,no,cellular,jul,mon,2136,2,280,4,failure,1.4,94.38696685,-34.47488253,3.440854254,5058.234423,no
19382,50,self-employed,divorced,university.degree,no,yes,no,cellular,nov,thu,743,1,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,no
18930,34,entrepreneur,single,basic.9y,no,no,no,cellular,nov,wed,4853,1,848,0,failure,-0.1,94.20154065,-35.32844415,2.71079757,5146.942925,no
11992,94,blue-collar,married,basic.9y,no,yes,yes,cellular,dec,mon,4913,49,21,6,nonexistent,1.4,93.38025034,-45.16980685,2.648869555,5025.643437,no
9239,60,housemaid,unknown,basic.4y,yes,yes,yes,telephone,jul,thu,220,35,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
5503,49,entrepreneur,married,university.degree,no,yes,no,telephone,may,fri,142,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
5773,28,blue-collar,single,high.school,no,yes,no,telephone,jun,mon,3197,2,457,1,failure,1.4,92.34855972,-42.35596028,4.462469134,5101.604011,no
29497,66,admin.,divorced,university.degree,no,yes,no,cellular,aug,wed,222,3,6,2,success,-1.7,94.027,-38.3,0.903,4991.6,yes
12177,41,entrepreneur,single,high.school,no,yes,no,telephone,jul,thu,70,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
13838,45,housemaid,married,basic.4y,unknown,yes,no,cellular,aug,tue,2169,1,721,5,failure,1.4,94.32158015,-41.37480861,3.338705081,5129.36847,no
1153,52,housemaid,married,university.degree,no,yes,no,telephone,may,thu,64,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
28119,69,retired,married,professional.course,no,no,yes,cellular,oct,thu,2093,1,36,3,nonexistent,-3.4,92.85111059,-39.98131969,0.804889775,5038.569404,no
9839,32,technician,married,professional.course,no,yes,no,cellular,jul,thu,255,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
24702,29,blue-collar,married,professional.course,no,no,no,telephone,may,wed,34,8,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
511,57,housemaid,married,basic.6y,unknown,yes,no,telephone,may,tue,121,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
26994,30,self-employed,single,university.degree,no,yes,no,cellular,jul,tue,185,1,999,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,no
5573,48,admin.,married,university.degree,no,no,no,telephone,may,fri,76,9,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
1646,57,blue-collar,married,professional.course,unknown,unknown,unknown,telephone,may,tue,4424,5,464,1,failure,1.1,92.96597225,-46.262974,2.233875219,5020.452205,no
10328,31,services,married,high.school,no,no,no,cellular,jul,mon,2778,4,165,5,success,1.4,93.89558506,-45.26988882,3.400639352,4988.635803,no
9492,35,services,single,high.school,no,no,no,cellular,jul,tue,191,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
5739,45,blue-collar,single,high.school,unknown,no,no,telephone,jun,mon,68,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
11971,36,services,married,high.school,unknown,no,no,cellular,jul,wed,79,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
12456,56,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,fri,560,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
18591,45,technician,married,university.degree,no,yes,no,cellular,nov,wed,1447,1,782,1,nonexistent,-0.1,92.90030417,-29.1893743,2.523832551,5033.03088,no
3327,27,blue-collar,married,basic.9y,no,yes,yes,telephone,may,tue,274,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
546,30,self-employed,married,basic.6y,unknown,no,yes,cellular,sep,thu,343,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
8072,46,blue-collar,divorced,basic.6y,no,unknown,unknown,telephone,jun,thu,593,9,995,3,failure,1.4,92.61802111,-42.78832316,3.554278836,5024.630204,no
19854,40,technician,single,university.degree,no,yes,yes,cellular,nov,fri,44,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
3442,45,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,4756,2,261,1,nonexistent,1.1,93.38291391,-36.20357839,3.247687042,5060.21405,no
7682,38,technician,single,university.degree,no,no,no,telephone,jun,tue,206,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
6127,29,management,single,university.degree,no,no,no,telephone,jun,tue,342,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
5193,30,blue-collar,married,university.degree,no,no,no,telephone,may,thu,558,13,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
17370,58,retired,married,high.school,no,yes,no,cellular,aug,fri,1649,10,508,5,success,1.4,94.39144619,-31.97084106,3.313652079,5173.702345,no
23515,31,self-employed,married,university.degree,no,no,no,cellular,may,fri,704,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,yes
28175,52,management,married,basic.6y,no,no,no,cellular,nov,mon,209,2,999,1,failure,-3.4,92.649,-30.1,0.722,5017.5,yes
18689,49,blue-collar,married,basic.9y,unknown,yes,no,cellular,nov,wed,52,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
29295,49,technician,divorced,professional.course,no,yes,no,cellular,jul,mon,253,3,15,1,success,-1.7,94.215,-40.3,0.87,4991.6,yes
11821,54,technician,married,high.school,no,yes,no,cellular,jul,tue,187,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
17710,35,management,single,university.degree,no,no,yes,cellular,nov,mon,214,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
29117,38,technician,single,university.degree,no,yes,yes,cellular,jun,thu,1966,1,579,6,failure,-1.7,93.64780745,-40.46672346,3.462300172,5037.694297,no
9986,70,student,single,high.school,no,yes,unknown,cellular,jun,tue,360,8,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
25424,42,entrepreneur,married,high.school,no,yes,no,cellular,may,fri,9,9,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
7981,32,technician,married,professional.course,no,no,no,telephone,jun,wed,666,1,283,3,failure,1.4,92.48709706,-36.1447248,4.431197788,5012.929967,no
9174,54,services,married,high.school,unknown,yes,no,cellular,jul,mon,36,33,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
3752,37,blue-collar,single,basic.9y,no,yes,no,telephone,may,fri,1098,2,592,5,nonexistent,1.1,92.56409562,-34.13658856,1.203532404,5128.483633,no
19294,36,blue-collar,married,basic.9y,no,yes,no,cellular,nov,thu,3501,4,633,5,failure,-0.1,93.35343133,-46.7388627,1.398560826,4966.646881,no
16606,50,housemaid,married,basic.4y,no,no,no,cellular,aug,mon,72,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
4188,41,admin.,married,high.school,no,no,yes,telephone,may,mon,16,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2436,36,blue-collar,married,professional.course,no,yes,yes,telephone,may,thu,2844,1,298,2,success,1.1,92.98512454,-34.18511027,2.213148211,5219.175209,no
20685,31,admin.,single,university.degree,no,yes,no,cellular,apr,thu,3733,1,637,4,failure,-1.8,94.70278685,-43.68170292,3.319039923,5195.263741,no
16465,59,management,married,university.degree,no,no,no,cellular,aug,fri,3870,3,673,5,nonexistent,1.4,93.89210534,-31.25114,4.428336555,5202.892974,no
21795,29,admin.,single,high.school,no,yes,no,telephone,apr,mon,4120,2,691,1,nonexistent,-1.8,93.44787784,-41.30909036,3.90322969,5045.836682,no
14004,31,admin.,single,university.degree,no,yes,no,cellular,aug,wed,2573,2,497,6,failure,1.4,92.88279663,-47.20045911,0.784899884,5112.396068,no
22478,37,management,married,university.degree,no,no,yes,cellular,may,tue,252,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
21688,33,blue-collar,married,high.school,no,no,no,cellular,apr,mon,207,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
3505,42,technician,married,university.degree,unknown,no,no,telephone,may,wed,1046,1,352,5,success,1.1,93.82869483,-48.06590051,4.698834111,4971.208329,no
10460,94,management,married,basic.6y,no,unknown,no,cellular,apr,fri,364,20,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
21092,34,admin.,married,high.school,no,yes,yes,cellular,apr,fri,329,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
18837,39,technician,single,professional.course,no,yes,no,cellular,nov,wed,180,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
15956,29,technician,single,university.degree,no,no,no,cellular,aug,wed,95,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
22582,39,services,married,high.school,no,yes,yes,cellular,may,tue,200,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
21103,50,unemployed,married,basic.4y,unknown,yes,no,cellular,apr,fri,71,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
20307,28,management,unknown,basic.4y,no,no,unknown,telephone,jul,wed,4323,4,638,3,failure,-1.8,93.0303117,-45.78117333,0.907015832,5122.641585,no
18224,31,management,single,high.school,no,no,no,cellular,nov,tue,74,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
20748,94,admin.,married,basic.6y,yes,unknown,no,telephone,dec,mon,3084,24,866,1,success,-1.8,92.63259379,-38.29971145,1.727878623,5088.006361,no
27553,24,student,single,unknown,no,yes,no,cellular,aug,fri,1376,1,118,1,success,-2.9,93.81032489,-36.79992288,2.460738699,5217.05632,yes
1956,46,management,married,university.degree,no,no,yes,telephone,may,wed,103,6,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
12559,59,retired,married,high.school,no,yes,no,cellular,jul,fri,1448,17,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
23157,41,management,married,university.degree,no,no,yes,cellular,may,thu,3774,1,755,2,failure,-1.8,93.01549031,-37.50975699,2.799503602,4964.492629,no
11390,35,technician,married,professional.course,no,no,yes,cellular,jul,mon,291,2,930,5,failure,1.4,92.83887132,-50.32658825,4.330657948,5084.000704,no
21917,25,admin.,single,high.school,no,yes,no,cellular,apr,wed,416,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
23507,31,self-employed,married,university.degree,no,no,no,cellular,may,fri,182,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
12570,83,unemployed,single,illiterate,no,no,yes,telephone,jul,tue,118,12,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
5851,54,blue-collar,married,high.school,no,no,no,telephone,jun,mon,4018,1,254,2,failure,1.4,94.10656201,-29.71701603,3.423707256,5193.320466,no
4542,28,services,single,high.school,no,yes,yes,telephone,may,tue,186,2,870,5,success,1.1,94.41795667,-38.64312483,4.723110679,4982.750255,no
25299,32,admin.,married,university.degree,no,no,no,cellular,may,thu,366,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
17627,97,retired,single,basic.4y,no,unknown,yes,cellular,dec,tue,64,25,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
29279,26,technician,single,university.degree,no,no,no,cellular,jul,fri,2041,2,111,6,failure,-1.7,93.79705447,-49.50463642,0.67225544,4975.228188,no
22880,94,admin.,single,university.degree,yes,unknown,no,cellular,jun,thu,169,16,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,yes
11548,72,housemaid,unknown,basic.9y,unknown,unknown,yes,telephone,apr,wed,3992,12,554,2,success,1.4,92.66888512,-30.68138497,1.209918653,5204.686733,no
6716,45,unemployed,married,basic.4y,no,yes,yes,telephone,jun,fri,248,1,850,3,success,1.4,94.50427234,-48.92062854,1.188351982,5159.033755,no
20633,46,blue-collar,divorced,basic.6y,unknown,no,no,cellular,apr,wed,3663,5,250,2,nonexistent,-1.8,94.21886047,-36.25588982,2.018442044,5153.704127,no
14910,41,technician,married,professional.course,no,no,no,cellular,aug,tue,174,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
21025,44,management,married,university.degree,no,yes,no,cellular,apr,thu,137,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
13643,36,admin.,single,university.degree,no,yes,no,cellular,jul,thu,453,6,510,1,success,1.4,92.37929373,-36.57188013,4.035871162,5188.81643,no
8314,28,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,fri,325,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
12293,43,blue-collar,single,basic.9y,no,no,no,telephone,jul,thu,1186,4,888,6,success,1.4,93.6926192,-50.48294748,1.746355843,4985.834627,no
13883,32,admin.,single,high.school,no,yes,no,cellular,aug,tue,195,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
23708,27,services,single,high.school,no,yes,no,cellular,may,fri,86,4,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
10564,37,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,tue,65,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
7441,39,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,jun,mon,144,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
19388,34,unemployed,married,high.school,no,yes,no,cellular,nov,thu,562,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,yes
11696,26,blue-collar,single,basic.6y,unknown,no,no,cellular,jul,tue,188,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
2323,31,admin.,married,high.school,no,no,no,telephone,may,thu,303,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
24081,33,blue-collar,single,basic.9y,unknown,no,no,cellular,may,mon,130,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
683,44,blue-collar,married,basic.9y,unknown,unknown,unknown,telephone,may,wed,4510,1,627,0,failure,1.1,94.39304441,-27.50543979,3.679958127,5203.34895,no
136,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,233,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5341,34,housemaid,divorced,high.school,no,no,no,telephone,may,fri,553,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,yes
18056,49,management,married,university.degree,no,yes,no,cellular,nov,tue,116,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
28661,59,unemployed,married,basic.9y,no,yes,no,cellular,mar,mon,2602,2,901,3,failure,-1.8,92.2552223,-30.27497667,2.913100484,5034.282254,yes
14477,52,blue-collar,married,basic.4y,no,yes,no,cellular,aug,fri,362,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
5356,34,services,married,high.school,no,no,yes,telephone,may,fri,659,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
23962,35,admin.,single,university.degree,no,yes,no,cellular,may,mon,75,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
11246,50,admin.,divorced,high.school,no,yes,no,cellular,jul,fri,95,4,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
19009,33,services,married,high.school,no,no,no,cellular,nov,wed,391,2,209,4,failure,-0.1,93.56084327,-36.43921779,3.363508932,5150.745566,no
6155,36,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,tue,1302,1,294,0,nonexistent,1.4,92.25722455,-29.58969091,2.911845186,5029.92372,no
13401,36,technician,married,high.school,no,no,no,telephone,jul,thu,110,6,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
23796,29,services,single,high.school,no,yes,no,cellular,may,mon,2445,8,862,3,nonexistent,-1.8,94.08816334,-35.74659323,4.311242996,5071.62635,no
24638,28,blue-collar,single,high.school,no,yes,no,cellular,may,wed,3915,1,740,3,failure,-1.8,92.24769833,-38.28613375,3.963028514,5181.092192,yes
25609,37,services,married,high.school,no,yes,no,cellular,may,fri,81,2,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
13436,35,technician,single,professional.course,unknown,yes,no,cellular,jul,thu,105,5,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
344,43,management,married,professional.course,no,yes,no,telephone,may,tue,1424,1,744,6,failure,1.1,94.69119278,-45.38313441,2.790124213,5103.300757,no
10313,28,admin.,single,high.school,no,no,yes,cellular,jul,mon,4286,2,100,3,nonexistent,1.4,93.63783122,-34.62798568,3.878372072,5143.522867,no
14055,33,technician,single,professional.course,no,yes,no,cellular,aug,wed,290,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
10845,38,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,217,9,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
14016,50,technician,married,professional.course,no,no,no,cellular,aug,wed,467,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
4370,24,services,single,high.school,no,no,no,telephone,may,tue,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
29541,27,admin.,single,high.school,no,no,no,telephone,aug,fri,3785,1,999,0,nonexistent,-1.7,94.027,-38.3,0.888,4991.6,no
23807,44,admin.,married,basic.9y,no,yes,no,cellular,may,mon,168,1,581,5,failure,-1.8,94.71415552,-50.71791776,1.300011877,5141.044018,no
6414,36,self-employed,divorced,basic.4y,no,yes,no,telephone,jun,thu,821,1,189,0,nonexistent,1.4,94.21221695,-29.09786107,4.872125873,5055.43138,no
16596,37,admin.,single,university.degree,no,no,no,cellular,aug,mon,102,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
18284,47,services,married,high.school,no,no,no,cellular,nov,tue,3176,1,228,5,failure,-0.1,93.92908958,-31.86403848,0.731401667,5082.996104,no
10070,30,blue-collar,single,basic.6y,no,no,no,cellular,jul,fri,228,1,156,6,success,1.4,94.47845745,-41.16648198,2.517742572,5178.090235,no
12027,34,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,1042,3,752,5,nonexistent,1.4,94.5673169,-47.77640766,4.324438597,5183.010187,no
3298,27,admin.,married,high.school,no,yes,no,telephone,may,tue,1698,2,158,2,failure,1.1,92.57057159,-49.90793854,3.645160292,5120.657277,no
20956,32,admin.,single,university.degree,no,yes,no,cellular,apr,thu,83,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
25794,58,admin.,divorced,high.school,unknown,no,no,cellular,may,fri,315,3,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
13724,60,retired,married,university.degree,unknown,yes,no,cellular,aug,mon,174,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
24483,37,technician,single,university.degree,no,yes,no,cellular,may,tue,464,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
28041,21,student,single,high.school,no,yes,no,cellular,oct,fri,149,1,999,0,nonexistent,-3.4,92.431,-26.9,0.73,5017.5,yes
7353,39,entrepreneur,married,high.school,no,yes,no,telephone,jun,thu,1792,1,612,1,nonexistent,1.4,93.0581022,-47.17415845,3.877064941,5201.005084,no
8273,30,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,193,11,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
8445,36,admin.,married,university.degree,no,yes,no,telephone,jun,fri,11,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
17758,58,entrepreneur,married,basic.4y,no,no,no,cellular,nov,mon,104,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
8255,29,admin.,single,high.school,no,yes,yes,telephone,jun,thu,15,10,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
16494,36,admin.,married,professional.course,no,yes,yes,cellular,aug,fri,153,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
20994,37,technician,single,high.school,no,yes,no,cellular,apr,thu,44,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
24544,30,technician,single,high.school,no,yes,no,telephone,may,wed,1998,5,92,0,failure,-1.8,92.87721785,-34.4948769,4.652081264,5123.838777,no
1338,45,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,fri,325,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
11062,85,student,married,professional.course,no,no,no,cellular,nov,mon,551,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
27125,35,admin.,single,university.degree,no,yes,no,cellular,aug,thu,1105,1,525,6,failure,-2.9,92.66314496,-48.96341407,4.590987153,5025.796595,no
16383,34,admin.,single,university.degree,no,no,no,cellular,aug,fri,114,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
22739,35,services,married,high.school,unknown,yes,no,cellular,may,wed,404,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
12806,30,admin.,married,unknown,no,no,no,cellular,jul,mon,220,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
23,39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
21591,48,services,single,basic.9y,no,yes,no,cellular,apr,mon,16,5,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
28621,62,technician,married,unknown,no,no,no,cellular,mar,mon,104,2,3,2,success,-1.8,93.369,-34.8,0.646,5008.7,yes
6124,40,blue-collar,married,basic.4y,no,no,no,telephone,jun,tue,4890,6,116,1,nonexistent,1.4,94.62787542,-35.71861377,1.784480462,5006.180697,no
16490,36,technician,married,professional.course,unknown,yes,no,cellular,aug,fri,4479,7,362,3,success,1.4,93.65899212,-34.55350005,0.940639369,5086.498371,no
26814,31,admin.,single,high.school,no,no,no,cellular,jun,fri,3075,3,998,6,success,-2.9,94.52223602,-31.4017988,2.457450102,5028.063556,no
24200,51,admin.,married,high.school,no,no,no,cellular,may,tue,3976,4,536,5,nonexistent,-1.8,94.11547177,-31.57448397,4.485432424,5094.389513,no
3276,39,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,4735,3,895,6,failure,1.1,93.88811601,-47.91522064,2.031669738,5152.58936,yes
13750,45,technician,married,university.degree,unknown,yes,no,cellular,aug,mon,2260,1,93,5,failure,1.4,93.1964556,-41.65903115,1.894189858,5074.353827,no
2912,52,management,divorced,high.school,no,unknown,unknown,telephone,may,mon,1312,3,549,0,nonexistent,1.1,92.79194612,-30.03502822,3.68993381,5084.095222,no
1908,49,services,married,high.school,no,no,yes,telephone,may,tue,151,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
12660,57,self-employed,married,university.degree,unknown,unknown,unknown,telephone,jul,mon,644,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
24034,40,admin.,married,university.degree,no,yes,no,cellular,may,mon,174,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
21428,40,entrepreneur,married,basic.9y,no,yes,no,cellular,apr,fri,2003,2,181,6,nonexistent,-1.8,93.30149613,-50.33735554,1.896108148,5191.763558,no
20653,40,services,divorced,high.school,no,yes,no,cellular,apr,wed,1382,1,600,6,success,-1.8,94.76510799,-39.96182362,2.298107676,5158.771755,no
2024,49,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,wed,220,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
